X1,Y1,X2,Y2,X,Y,Diff,Distance,TriggerStatusActual,TriggerStatusObserved
215,371,149,288,-66,-83,11245,106.0424443,FALSE,FALSE
257,373,256,200,-1,-173,29930,173.0028901,FALSE,FALSE
251,359,248,190,-3,-169,28570,169.0266251,FALSE,FALSE
252,359,252,191,0,-168,28224,168,FALSE,FALSE
251,360,251,191,0,-169,28561,169,FALSE,FALSE
233,361,225,185,-8,-176,31040,176.1817244,FALSE,FALSE
231,359,223,188,-8,-171,29305,171.1870322,FALSE,FALSE
202,366,187,192,-15,-174,30501,174.6453549,FALSE,FALSE
203,365,188,190,-15,-175,30850,175.6416807,FALSE,FALSE
194,346,169,184,-25,-162,26869,163.9176623,FALSE,FALSE
195,328,171,173,-24,-155,24601,156.8470593,FALSE,FALSE
194,327,170,173,-24,-154,24292,155.8589106,FALSE,FALSE
193,309,170,162,-23,-147,22138,148.7884404,FALSE,FALSE
192,302,167,158,-25,-144,21361,146.1540283,FALSE,FALSE
191,302,168,159,-23,-143,20978,144.8378404,FALSE,FALSE
189,299,165,156,-24,-143,21025,145,FALSE,FALSE
188,300,166,156,-22,-144,21220,145.6708619,FALSE,FALSE
189,300,166,155,-23,-145,21554,146.812806,FALSE,FALSE
187,300,164,157,-23,-143,20978,144.8378404,FALSE,FALSE
183,301,163,161,-20,-140,20000,141.4213562,FALSE,FALSE
181,302,163,161,-18,-141,20205,142.1442929,FALSE,FALSE
138,266,137,171,-1,-95,9026,95.00526301,FALSE,FALSE
146,264,145,203,-1,-61,3722,61.00819617,FALSE,FALSE
146,264,148,225,2,-39,1525,39.05124838,FALSE,FALSE
158,256,137,188,-21,-68,5065,71.16881339,FALSE,FALSE
159,256,137,189,-22,-67,4973,70.51950085,FALSE,FALSE
144,248,139,204,-5,-44,1961,44.28317965,FALSE,FALSE
146,244,137,201,-9,-43,1930,43.93176527,FALSE,FALSE
141,251,131,202,-10,-49,2501,50.009999,FALSE,FALSE
140,251,133,211,-7,-40,1649,40.60788101,FALSE,FALSE
159,255,134,182,-25,-73,5954,77.1621669,FALSE,FALSE
155,251,131,174,-24,-77,6505,80.65358021,FALSE,FALSE
156,251,130,173,-26,-78,6760,82.21921916,FALSE,FALSE
157,250,129,169,-28,-81,7345,85.70297544,FALSE,FALSE
156,249,129,169,-27,-80,7129,84.43340571,FALSE,FALSE
156,249,130,167,-26,-82,7400,86.02325267,FALSE,FALSE
157,249,129,167,-28,-82,7508,86.64871609,FALSE,FALSE
155,250,129,166,-26,-84,7732,87.93179175,FALSE,FALSE
154,249,127,166,-27,-83,7618,87.2811549,FALSE,FALSE
155,251,128,165,-27,-86,8125,90.13878189,FALSE,FALSE
152,248,126,166,-26,-82,7400,86.02325267,FALSE,FALSE
152,248,127,166,-25,-82,7349,85.72630868,FALSE,FALSE
154,250,126,166,-28,-84,7840,88.54377448,FALSE,FALSE
153,250,126,167,-27,-83,7618,87.2811549,FALSE,FALSE
152,250,128,165,-24,-85,7801,88.32326987,FALSE,FALSE
153,250,128,165,-25,-85,7850,88.60022573,FALSE,FALSE
153,250,128,165,-25,-85,7850,88.60022573,FALSE,FALSE
150,248,126,166,-24,-82,7300,85.44003745,FALSE,FALSE
151,249,127,166,-24,-83,7465,86.40023148,FALSE,FALSE
132,228,122,163,-10,-65,4325,65.76473219,FALSE,FALSE
133,230,125,165,-8,-65,4289,65.49045732,FALSE,FALSE
124,236,120,210,-4,-26,692,26.30589288,FALSE,FALSE
129,233,122,209,-7,-24,625,25,FALSE,FALSE
127,231,122,209,-5,-22,509,22.56102835,FALSE,FALSE
128,234,119,221,-9,-13,250,15.8113883,FALSE,FALSE
128,234,121,221,-7,-13,218,14.76482306,FALSE,FALSE
130,227,119,174,-11,-53,2930,54.12947441,FALSE,FALSE
128,223,119,174,-9,-49,2482,49.81967483,FALSE,FALSE
157,246,129,181,-28,-65,5009,70.77428912,FALSE,FALSE
155,248,132,174,-23,-74,6005,77.49193506,FALSE,FALSE
157,247,132,175,-25,-72,5809,76.21679605,FALSE,FALSE
158,248,133,172,-25,-76,6401,80.00624976,FALSE,FALSE
158,248,132,170,-26,-78,6760,82.21921916,FALSE,FALSE
161,249,135,171,-26,-78,6760,82.21921916,FALSE,FALSE
163,249,140,171,-23,-78,6613,81.32035416,FALSE,FALSE
164,248,142,170,-22,-78,6568,81.04319836,FALSE,FALSE
165,248,142,169,-23,-79,6770,82.28000972,FALSE,FALSE
165,249,143,170,-22,-79,6725,82.00609733,FALSE,FALSE
166,250,143,170,-23,-80,6929,83.24061509,FALSE,FALSE
167,251,143,170,-24,-81,7137,84.48076704,FALSE,FALSE
167,249,144,170,-23,-79,6770,82.28000972,FALSE,FALSE
168,249,145,169,-23,-80,6929,83.24061509,FALSE,FALSE
168,248,144,170,-24,-78,6660,81.60882305,FALSE,FALSE
167,248,145,169,-22,-79,6725,82.00609733,FALSE,FALSE
167,248,144,169,-23,-79,6770,82.28000972,FALSE,FALSE
167,249,146,169,-21,-80,6841,82.71033793,FALSE,FALSE
166,248,147,169,-19,-79,6602,81.25269226,FALSE,FALSE
168,250,147,168,-21,-82,7165,84.64632302,FALSE,FALSE
168,249,148,169,-20,-80,6800,82.46211251,FALSE,FALSE
167,247,148,169,-19,-78,6445,80.28075735,FALSE,FALSE
141,238,147,188,6,-50,2536,50.35871325,FALSE,FALSE
146,238,144,221,-2,-17,293,17.11724277,FALSE,FALSE
157,232,144,179,-13,-53,2978,54.5710546,FALSE,FALSE
165,235,146,169,-19,-66,4717,68.68041933,FALSE,FALSE
164,235,147,164,-17,-71,5330,73.00684899,FALSE,FALSE
164,234,146,162,-18,-72,5508,74.21590126,FALSE,FALSE
149,248,148,203,-1,-45,2026,45.01110974,FALSE,FALSE
148,248,150,208,2,-40,1604,40.04996879,FALSE,FALSE
151,244,151,207,0,-37,1369,37,FALSE,FALSE
175,256,147,173,-28,-83,7673,87.59566199,FALSE,FALSE
173,257,151,171,-22,-86,7880,88.76936408,FALSE,FALSE
174,259,152,177,-22,-82,7208,84.89994111,FALSE,FALSE
174,258,152,177,-22,-81,7045,83.93449827,FALSE,FALSE
174,258,151,178,-23,-80,6929,83.24061509,FALSE,FALSE
174,257,151,177,-23,-80,6929,83.24061509,FALSE,FALSE
174,258,150,175,-24,-83,7465,86.40023148,FALSE,FALSE
173,257,150,178,-23,-79,6770,82.28000972,FALSE,FALSE
173,257,150,177,-23,-80,6929,83.24061509,FALSE,FALSE
174,257,151,176,-23,-81,7090,84.20213774,FALSE,FALSE
174,258,152,175,-22,-83,7373,85.86617495,FALSE,FALSE
173,256,151,176,-22,-80,6884,82.96987405,FALSE,FALSE
173,256,150,177,-23,-79,6770,82.28000972,FALSE,FALSE
173,256,150,176,-23,-80,6929,83.24061509,FALSE,FALSE
172,255,149,178,-23,-77,6458,80.36168241,FALSE,FALSE
171,256,149,178,-22,-78,6568,81.04319836,FALSE,FALSE
172,254,148,179,-24,-75,6201,78.74642849,FALSE,FALSE
172,255,148,178,-24,-77,6505,80.65358021,FALSE,FALSE
173,258,147,177,-26,-81,7237,85.07055895,FALSE,FALSE
172,257,147,178,-25,-79,6866,82.86132994,FALSE,FALSE
171,256,146,179,-25,-77,6554,80.95677859,FALSE,FALSE
153,237,139,169,-14,-68,4820,69.42621983,FALSE,FALSE
157,231,140,171,-17,-60,3889,62.36184731,FALSE,FALSE
149,241,135,237,-14,-4,212,14.56021978,FALSE,FALSE
148,243,133,243,-15,0,225,15,FALSE,FALSE
153,234,135,206,-18,-28,1108,33.28663395,FALSE,FALSE
154,233,138,208,-16,-25,881,29.68164416,FALSE,FALSE
144,241,130,229,-14,-12,340,18.43908891,FALSE,FALSE
147,232,133,215,-14,-17,485,22.02271555,FALSE,FALSE
146,231,133,219,-13,-12,313,17.69180601,FALSE,FALSE
160,246,140,191,-20,-55,3425,58.52349955,FALSE,FALSE
159,243,143,190,-16,-53,3065,55.36244214,FALSE,FALSE
161,249,143,191,-18,-58,3688,60.7289058,FALSE,FALSE
160,248,143,190,-17,-58,3653,60.44005295,FALSE,FALSE
160,248,142,190,-18,-58,3688,60.7289058,FALSE,FALSE
158,249,143,192,-15,-57,3474,58.94064811,FALSE,FALSE
158,249,144,193,-14,-56,3332,57.72347876,FALSE,FALSE
158,248,143,192,-15,-56,3361,57.97413216,FALSE,FALSE
159,248,143,192,-16,-56,3392,58.24087911,FALSE,FALSE
159,251,142,192,-17,-59,3770,61.40032573,FALSE,FALSE
159,251,143,191,-16,-60,3856,62.09669879,FALSE,FALSE
158,250,144,192,-14,-58,3560,59.66573556,FALSE,FALSE
158,250,144,192,-14,-58,3560,59.66573556,FALSE,FALSE
159,251,143,192,-16,-59,3737,61.13100686,FALSE,FALSE
158,250,142,191,-16,-59,3737,61.13100686,FALSE,FALSE
158,251,143,191,-15,-60,3825,61.84658438,FALSE,FALSE
157,252,144,191,-13,-61,3890,62.36986452,FALSE,FALSE
158,251,143,189,-15,-62,4069,63.78871374,FALSE,FALSE
157,252,141,187,-16,-65,4481,66.94027188,FALSE,FALSE
156,249,138,180,-18,-69,5085,71.30918594,FALSE,FALSE
157,250,139,178,-18,-72,5508,74.21590126,FALSE,FALSE
157,250,139,178,-18,-72,5508,74.21590126,FALSE,FALSE
157,250,139,178,-18,-72,5508,74.21590126,FALSE,FALSE
156,245,139,183,-17,-62,4133,64.28841264,FALSE,FALSE
155,246,139,183,-16,-63,4225,65,FALSE,FALSE
138,239,131,228,-7,-11,170,13.03840481,FALSE,FALSE
139,241,132,226,-7,-15,274,16.55294536,FALSE,FALSE
156,241,138,191,-18,-50,2824,53.14132102,FALSE,FALSE
143,237,134,222,-9,-15,306,17.49285568,FALSE,FALSE
142,236,134,227,-8,-9,145,12.04159458,FALSE,FALSE
142,238,134,228,-8,-10,164,12.80624847,FALSE,FALSE
162,247,136,188,-26,-59,4157,64.47480128,FALSE,TRUE
160,249,140,199,-20,-50,2900,53.85164807,FALSE,TRUE
159,249,143,204,-16,-45,2281,47.75981575,FALSE,TRUE
158,248,143,204,-15,-44,2161,46.4865572,FALSE,TRUE
157,248,141,196,-16,-52,2960,54.40588203,FALSE,TRUE
157,247,142,195,-15,-52,2929,54.12023651,FALSE,TRUE
157,249,140,195,-17,-54,3205,56.61271942,FALSE,TRUE
157,248,139,193,-18,-55,3349,57.87054518,FALSE,TRUE
157,247,139,194,-18,-53,3133,55.97320788,FALSE,FALSE
158,245,139,194,-19,-51,2962,54.4242593,FALSE,FALSE
157,247,139,194,-18,-53,3133,55.97320788,FALSE,FALSE
157,247,138,194,-19,-53,3170,56.30275304,FALSE,FALSE
157,249,139,192,-18,-57,3573,59.77457654,FALSE,FALSE
156,249,138,193,-18,-56,3460,58.82176468,FALSE,FALSE
157,249,138,192,-19,-57,3610,60.08327554,FALSE,FALSE
156,248,137,191,-19,-57,3610,60.08327554,FALSE,FALSE
134,244,129,215,-5,-29,866,29.42787794,FALSE,FALSE
133,244,132,215,-1,-29,842,29.01723626,FALSE,FALSE
136,242,129,215,-7,-27,778,27.89265136,FALSE,FALSE
147,239,133,206,-14,-33,1285,35.84689666,FALSE,FALSE
145,237,132,206,-13,-31,1130,33.61547263,FALSE,FALSE
146,233,132,209,-14,-24,772,27.78488798,FALSE,FALSE
169,256,139,184,-30,-72,6084,78,FALSE,FALSE
168,255,140,179,-28,-76,6560,80.99382693,FALSE,FALSE
167,255,143,178,-24,-77,6505,80.65358021,FALSE,FALSE
167,255,142,178,-25,-77,6554,80.95677859,FALSE,FALSE
165,256,144,175,-21,-81,7002,83.67795409,FALSE,FALSE
165,258,144,176,-21,-82,7165,84.64632302,FALSE,FALSE
165,257,142,176,-23,-81,7090,84.20213774,FALSE,FALSE
163,256,141,178,-22,-78,6568,81.04319836,FALSE,FALSE
163,256,141,178,-22,-78,6568,81.04319836,FALSE,FALSE
163,256,140,178,-23,-78,6613,81.32035416,FALSE,FALSE
164,257,140,179,-24,-78,6660,81.60882305,FALSE,FALSE
165,256,140,178,-25,-78,6709,81.90848552,FALSE,FALSE
165,257,141,178,-24,-79,6817,82.56512581,FALSE,FALSE
164,256,140,178,-24,-78,6660,81.60882305,FALSE,FALSE
164,256,141,179,-23,-77,6458,80.36168241,FALSE,FALSE
161,253,143,181,-18,-72,5508,74.21590126,FALSE,FALSE
159,253,142,180,-17,-73,5618,74.95331881,FALSE,FALSE
158,253,142,181,-16,-72,5440,73.75635566,FALSE,FALSE
159,254,141,181,-18,-73,5653,75.18643495,FALSE,FALSE
159,253,141,182,-18,-71,5365,73.24616031,FALSE,FALSE
157,254,142,179,-15,-75,5850,76.4852927,FALSE,FALSE
158,252,145,172,-13,-80,6569,81.04936767,FALSE,FALSE
158,252,146,172,-12,-80,6544,80.89499366,FALSE,FALSE
159,253,149,168,-10,-85,7325,85.58621384,FALSE,FALSE
159,254,147,168,-12,-86,7540,86.83317338,FALSE,FALSE
155,249,147,169,-8,-80,6464,80.39900497,FALSE,FALSE
157,248,144,169,-13,-79,6410,80.0624756,FALSE,FALSE
139,241,131,224,-8,-17,353,18.78829423,FALSE,FALSE
141,240,128,236,-13,-4,185,13.60147051,FALSE,FALSE
155,244,132,203,-23,-41,2210,47.01063709,FALSE,FALSE
158,254,137,192,-21,-62,4285,65.4599114,FALSE,FALSE
159,254,138,190,-21,-64,4537,67.35725648,FALSE,FALSE
139,246,132,228,-7,-18,373,19.31320792,FALSE,FALSE
137,245,134,231,-3,-14,205,14.31782106,FALSE,FALSE
140,247,130,230,-10,-17,389,19.72308292,FALSE,FALSE
140,246,130,230,-10,-16,356,18.86796226,FALSE,FALSE
164,254,139,188,-25,-66,4981,70.57619995,FALSE,TRUE
165,255,144,183,-21,-72,5625,75,FALSE,TRUE
165,255,142,184,-23,-71,5570,74.63243263,FALSE,TRUE
164,255,140,185,-24,-70,5476,74,FALSE,TRUE
164,255,141,184,-23,-71,5570,74.63243263,FALSE,TRUE
163,254,142,185,-21,-69,5202,72.12489168,FALSE,FALSE
164,254,140,185,-24,-69,5337,73.05477397,FALSE,FALSE
165,256,141,185,-24,-71,5617,74.94664769,FALSE,FALSE
165,255,143,183,-22,-72,5668,75.2861209,FALSE,FALSE
165,256,142,182,-23,-74,6005,77.49193506,FALSE,FALSE
165,256,143,182,-22,-74,5960,77.20103626,FALSE,FALSE
165,256,142,182,-23,-74,6005,77.49193506,FALSE,FALSE
166,259,145,179,-21,-80,6841,82.71033793,FALSE,FALSE
166,258,144,180,-22,-78,6568,81.04319836,FALSE,FALSE
165,259,145,179,-20,-80,6800,82.46211251,FALSE,FALSE
165,255,148,179,-17,-76,6065,77.87810989,FALSE,FALSE
165,258,145,179,-20,-79,6641,81.49233093,FALSE,FALSE
166,258,144,179,-22,-79,6725,82.00609733,FALSE,FALSE
165,257,146,178,-19,-79,6602,81.25269226,FALSE,FALSE
165,259,145,179,-20,-80,6800,82.46211251,FALSE,FALSE
165,257,144,179,-21,-78,6525,80.77747211,FALSE,FALSE
165,257,144,179,-21,-78,6525,80.77747211,FALSE,FALSE
164,257,144,182,-20,-75,6025,77.62087348,FALSE,FALSE
164,256,146,180,-18,-76,6100,78.10249676,FALSE,FALSE
146,243,134,169,-12,-74,5620,74.96665926,FALSE,FALSE
140,247,131,230,-9,-17,370,19.23538406,FALSE,FALSE
140,246,129,233,-11,-13,290,17.02938637,FALSE,FALSE
141,239,132,227,-9,-12,225,15,FALSE,FALSE
142,239,133,226,-9,-13,250,15.8113883,FALSE,FALSE
140,244,128,232,-12,-12,288,16.97056275,FALSE,FALSE
142,242,130,233,-12,-9,225,15,FALSE,FALSE
142,243,131,234,-11,-9,202,14.2126704,FALSE,FALSE
142,243,131,235,-11,-8,185,13.60147051,FALSE,FALSE
161,251,140,195,-21,-56,3577,59.80802622,FALSE,FALSE
160,255,141,196,-19,-59,3842,61.98386887,FALSE,FALSE
160,256,142,193,-18,-63,4293,65.520989,FALSE,FALSE
157,257,143,192,-14,-65,4421,66.49060084,FALSE,FALSE
158,256,146,188,-12,-68,4768,69.05070601,FALSE,FALSE
157,255,145,189,-12,-66,4500,67.08203932,FALSE,FALSE
160,257,145,191,-15,-66,4581,67.68308504,FALSE,FALSE
159,255,146,191,-13,-64,4265,65.30696747,FALSE,FALSE
159,254,145,193,-14,-61,3917,62.58594091,FALSE,FALSE
159,254,144,191,-15,-63,4194,64.76109943,FALSE,FALSE
158,256,143,191,-15,-65,4450,66.70832032,FALSE,FALSE
157,254,143,191,-14,-63,4165,64.5368112,FALSE,FALSE
157,253,143,192,-14,-61,3917,62.58594091,FALSE,FALSE
156,256,142,189,-14,-67,4685,68.44705983,FALSE,FALSE
157,257,142,189,-15,-68,4849,69.63476143,FALSE,FALSE
155,255,140,191,-15,-64,4321,65.73431372,FALSE,FALSE
156,256,139,193,-17,-63,4258,65.2533524,FALSE,FALSE
156,256,139,192,-17,-64,4385,66.21933252,FALSE,FALSE
156,257,140,192,-16,-65,4481,66.94027188,FALSE,FALSE
156,256,140,193,-16,-63,4225,65,FALSE,FALSE
155,254,140,192,-15,-62,4069,63.78871374,FALSE,FALSE
156,255,138,191,-18,-64,4420,66.48308055,FALSE,FALSE
156,258,140,192,-16,-66,4612,67.91170739,FALSE,FALSE
154,251,141,189,-13,-62,4013,63.34824386,FALSE,FALSE
156,249,141,188,-15,-61,3946,62.8171951,FALSE,FALSE
138,242,129,226,-9,-16,337,18.35755975,FALSE,FALSE
138,243,128,231,-10,-12,244,15.62049935,FALSE,FALSE
151,243,134,197,-17,-46,2405,49.04079934,FALSE,FALSE
135,243,128,229,-7,-14,245,15.65247584,FALSE,FALSE
135,241,128,227,-7,-14,245,15.65247584,FALSE,FALSE
137,235,129,216,-8,-19,425,20.61552813,FALSE,FALSE
137,235,129,213,-8,-22,548,23.40939982,FALSE,FALSE
152,250,133,192,-19,-58,3725,61.03277808,FALSE,TRUE
151,249,134,193,-17,-56,3425,58.52349955,FALSE,TRUE
157,253,139,193,-18,-60,3924,62.64183905,FALSE,TRUE
157,254,138,194,-19,-60,3961,62.93647591,FALSE,TRUE
159,256,140,192,-19,-64,4457,66.76076692,FALSE,TRUE
158,257,141,191,-17,-66,4645,68.15423685,FALSE,TRUE
158,255,139,186,-19,-69,5122,71.56814934,FALSE,TRUE
160,257,140,183,-20,-74,5876,76.65507159,FALSE,FALSE
160,257,139,184,-21,-73,5770,75.96051606,FALSE,FALSE
160,257,139,182,-21,-75,6066,77.88452991,FALSE,FALSE
159,257,141,183,-18,-74,5800,76.15773106,FALSE,FALSE
159,257,141,183,-18,-74,5800,76.15773106,FALSE,FALSE
159,257,142,183,-17,-74,5765,75.92759709,FALSE,FALSE
159,257,141,183,-18,-74,5800,76.15773106,FALSE,FALSE
158,257,140,184,-18,-73,5653,75.18643495,FALSE,FALSE
159,257,141,181,-18,-76,6100,78.10249676,FALSE,FALSE
159,258,140,180,-19,-78,6445,80.28075735,FALSE,FALSE
160,259,138,180,-22,-79,6725,82.00609733,FALSE,FALSE
159,258,138,180,-21,-78,6525,80.77747211,FALSE,FALSE
160,256,140,180,-20,-76,6176,78.58753082,FALSE,FALSE
159,257,140,181,-19,-76,6137,78.33900689,FALSE,FALSE
161,259,140,181,-21,-78,6525,80.77747211,FALSE,FALSE
161,259,140,181,-21,-78,6525,80.77747211,FALSE,FALSE
161,257,141,180,-20,-77,6329,79.55501241,FALSE,FALSE
160,258,140,178,-20,-80,6800,82.46211251,FALSE,FALSE
158,251,142,183,-16,-68,4880,69.85699679,FALSE,FALSE
158,253,141,183,-17,-70,5189,72.03471385,FALSE,FALSE
141,243,131,221,-10,-22,584,24.16609195,FALSE,FALSE
141,242,131,228,-10,-14,296,17.20465053,FALSE,FALSE
141,243,131,231,-10,-12,244,15.62049935,FALSE,FALSE
155,242,140,198,-15,-44,2161,46.4865572,FALSE,FALSE
155,239,140,203,-15,-36,1521,39,FALSE,FALSE
144,243,136,214,-8,-29,905,30.08321791,FALSE,FALSE
143,242,137,203,-6,-39,1557,39.45883931,FALSE,FALSE
142,243,132,226,-10,-17,389,19.72308292,FALSE,FALSE
151,228,137,194,-14,-34,1352,36.76955262,FALSE,TRUE
164,252,143,188,-21,-64,4537,67.35725648,FALSE,TRUE
165,252,148,177,-17,-75,5914,76.90253572,FALSE,TRUE
166,252,145,179,-21,-73,5770,75.96051606,FALSE,TRUE
166,252,147,182,-19,-70,5261,72.53275122,FALSE,TRUE
166,252,148,181,-18,-71,5365,73.24616031,FALSE,TRUE
167,253,146,180,-21,-73,5770,75.96051606,FALSE,FALSE
166,254,146,180,-20,-74,5876,76.65507159,FALSE,FALSE
166,254,145,182,-21,-72,5625,75,FALSE,FALSE
166,254,145,181,-21,-73,5770,75.96051606,FALSE,FALSE
166,254,145,181,-21,-73,5770,75.96051606,FALSE,FALSE
166,253,145,181,-21,-72,5625,75,FALSE,FALSE
166,253,145,181,-21,-72,5625,75,FALSE,FALSE
167,253,144,182,-23,-71,5570,74.63243263,FALSE,FALSE
166,252,143,182,-23,-70,5429,73.68174808,FALSE,FALSE
166,252,144,180,-22,-72,5668,75.2861209,FALSE,FALSE
167,254,145,180,-22,-74,5960,77.20103626,FALSE,FALSE
167,254,145,181,-22,-73,5813,76.24303247,FALSE,FALSE
167,254,145,181,-22,-73,5813,76.24303247,FALSE,FALSE
167,253,145,180,-22,-73,5813,76.24303247,FALSE,FALSE
167,253,145,180,-22,-73,5813,76.24303247,FALSE,FALSE
167,253,144,179,-23,-74,6005,77.49193506,FALSE,FALSE
167,253,145,180,-22,-73,5813,76.24303247,FALSE,FALSE
168,253,145,179,-23,-74,6005,77.49193506,FALSE,FALSE
166,254,145,180,-21,-74,5917,76.92203845,FALSE,FALSE
166,253,144,180,-22,-73,5813,76.24303247,FALSE,FALSE
166,254,145,179,-21,-75,6066,77.88452991,FALSE,FALSE
166,254,146,179,-20,-75,6025,77.62087348,FALSE,FALSE
161,238,143,167,-18,-71,5365,73.24616031,FALSE,FALSE
141,243,135,223,-6,-20,436,20.88061302,FALSE,FALSE
143,245,131,230,-12,-15,369,19.20937271,FALSE,FALSE
144,240,133,223,-11,-17,410,20.24845673,FALSE,FALSE
143,240,133,226,-10,-14,296,17.20465053,FALSE,FALSE
154,242,143,205,-11,-37,1490,38.60051813,FALSE,FALSE
154,243,142,205,-12,-38,1588,39.84971769,FALSE,FALSE
148,241,138,220,-10,-21,541,23.2594067,FALSE,FALSE
160,249,140,192,-20,-57,3649,60.40695324,FALSE,TRUE
158,246,142,190,-16,-56,3392,58.24087911,FALSE,TRUE
163,251,143,185,-20,-66,4756,68.9637586,FALSE,TRUE
164,251,143,186,-21,-65,4666,68.30812543,FALSE,TRUE
165,250,145,187,-20,-63,4369,66.09841148,FALSE,TRUE
166,251,144,188,-22,-63,4453,66.73080248,FALSE,TRUE
164,250,143,185,-21,-65,4666,68.30812543,FALSE,TRUE
165,250,144,184,-21,-66,4797,69.26037828,FALSE,FALSE
167,251,145,182,-22,-69,5245,72.42237223,FALSE,FALSE
168,250,145,184,-23,-66,4885,69.89277502,FALSE,FALSE
168,250,145,183,-23,-67,5018,70.83784299,FALSE,FALSE
168,251,144,184,-24,-67,5065,71.16881339,FALSE,FALSE
168,252,144,184,-24,-68,5200,72.11102551,FALSE,FALSE
169,252,144,181,-25,-71,5666,75.27283707,FALSE,FALSE
169,252,144,182,-25,-70,5525,74.33034374,FALSE,FALSE
170,251,145,181,-25,-70,5525,74.33034374,FALSE,FALSE
170,252,144,183,-26,-69,5437,73.73601562,FALSE,FALSE
169,253,144,183,-25,-70,5525,74.33034374,FALSE,FALSE
170,254,144,183,-26,-71,5717,75.61084578,FALSE,FALSE
169,254,143,181,-26,-73,6005,77.49193506,FALSE,FALSE
169,254,143,182,-26,-72,5860,76.55063684,FALSE,FALSE
169,254,145,181,-24,-73,5905,76.84399781,FALSE,FALSE
169,253,144,180,-25,-73,5954,77.1621669,FALSE,FALSE
169,252,144,180,-25,-72,5809,76.21679605,FALSE,FALSE
169,253,144,179,-25,-74,6101,78.10889834,FALSE,FALSE
168,252,145,181,-23,-71,5570,74.63243263,FALSE,FALSE
168,252,146,181,-22,-71,5525,74.33034374,FALSE,FALSE
156,231,141,176,-15,-55,3250,57.00877125,FALSE,FALSE
157,231,139,168,-18,-63,4293,65.520989,FALSE,FALSE
142,238,133,232,-9,-6,117,10.81665383,FALSE,FALSE
146,239,137,223,-9,-16,337,18.35755975,FALSE,FALSE
146,241,138,222,-8,-19,425,20.61552813,FALSE,FALSE
148,236,135,228,-13,-8,233,15.26433752,FALSE,FALSE
147,236,135,230,-12,-6,180,13.41640786,FALSE,FALSE
150,241,138,224,-12,-17,433,20.80865205,FALSE,FALSE
149,238,139,226,-10,-12,244,15.62049935,FALSE,FALSE
163,248,136,182,-27,-66,5085,71.30918594,FALSE,FALSE
163,245,141,181,-22,-64,4580,67.67569726,FALSE,FALSE
163,248,144,189,-19,-59,3842,61.98386887,FALSE,FALSE
163,248,145,193,-18,-55,3349,57.87054518,FALSE,FALSE
163,248,144,194,-19,-54,3277,57.24508713,FALSE,FALSE
164,249,144,194,-20,-55,3425,58.52349955,FALSE,FALSE
166,250,142,194,-24,-56,3712,60.92618485,FALSE,FALSE
166,249,142,193,-24,-56,3712,60.92618485,FALSE,FALSE
165,248,143,194,-22,-54,3400,58.30951895,FALSE,FALSE
165,248,143,195,-22,-53,3293,57.38466694,FALSE,FALSE
165,248,143,195,-22,-53,3293,57.38466694,FALSE,FALSE
166,247,143,194,-23,-53,3338,57.7754273,FALSE,FALSE
